emplid,div,deptid,sub_job_family,date,attendance,project_code,total_hour,pmcs_bu_start_dt,project_start_stage,C0_day,C1_day,C2_day,C3_day,C4_day,C5_day,C6_day,stage,termination_n,month_pf,execute_day,utilization_rate_by_dep_func,utilization_rate_by_dep,execute_hour,execute_month,utilization_rate_by_div_func
10005085,23M000,23M300,ME,2017/8/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,1,2979143.788,0.356180556,0.356180556,421.5345709,100498.3929,0.357212838
10005085,23M000,23M300,ME,2017/9/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,2,2979887.788,0.393402778,0.393402778,421.5345709,100498.3929,0.391756757
10005085,23M000,23M300,ME,2017/10/1,176,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,3,2980607.788,0.308459596,0.308459596,421.5345709,100498.3929,0.325013528
10005085,23M000,23M300,ME,2017/11/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,4,2981351.788,0.3695,0.3695,421.5345709,100498.3929,0.329654255
10005085,23M000,23M300,ME,2017/12/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,5,2982071.788,0.394125,0.394125,421.5345709,100498.3929,0.325825
10005085,23M000,23M100,ME,2018/6/1,152,1PD042550001,103.3,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,4,3112,0.989761513,0.989761513,88515.90573,1054.133333,0.808023966
10005085,23M000,23M100,ME,2018/7/1,192,1PD042550001,242.7,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,5,3832,1.044548611,1.044548611,88515.90573,1054.133333,0.857158905
10005085,23M000,23M100,ME,2018/8/1,160,1PD042550001,196.9,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,6,4576,1.089,1.089,88515.90573,1054.133333,0.963890306
10005085,23M000,23M100,ME,2018/9/1,152,1PD042550001,153.9,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,7,5320,0.960255418,0.960255418,88515.90573,1054.133333,0.940131579
10005085,23M000,23M100,ME,2018/10/1,192,1PD042550001,214.1,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,8,6040,0.99810049,0.99810049,88515.90573,1054.133333,0.884186422
10005085,23M000,23M100,ME,2018/11/1,160,1PD042550001,175,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,9,6784,0.937326389,0.937326389,88515.90573,1054.133333,0.972045455
10005085,23M000,23M100,ME,2018/12/1,184,1PD042550001,200.7,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C2,0,10,7504,0.955978261,0.955978261,88515.90573,1054.133333,0.85178442
10005085,23M000,23M100,ME,2019/8/1,152,1PD042550001,150.5,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,18,13336,1.039912281,1.039912281,88515.90573,1054.133333,0.831549043
10005085,23M000,23M100,ME,2019/9/1,184,1PD042550001,184.5,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,19,14080,0.979227053,0.979227053,88515.90573,1054.133333,0.752566425
10005085,23M000,23M100,ME,2019/10/1,144,1PD042550001,138.5,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,20,14800,0.991049383,0.991049383,88515.90573,1054.133333,0.757191155
10005085,23M000,23M100,ME,2019/11/1,160,1PD042550001,50.9,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,21,15544,1.029791667,1.029791667,88515.90573,1054.133333,0.698381024
10005085,23M000,23M100,ME,2019/11/1,160,QRQY00000942,119,2019/10/31 08:00,C6,0,0,0,0,0,0,91,,0,2,2998871.788,1.029791667,1.029791667,1146.8,99986.39293,0.698381024
10005085,23M000,23M100,ME,2019/12/1,192,1PD038550001,90.1,2018/2/1 08:00,C0,17,28,116,86,72,1492,90,C5,0,23,16456,1.048408565,1.048408565,51227.84787,1060.533333,0.73874349
10005085,23M000,23M100,ME,2019/12/1,192,1PD042550001,172.1,2018/1/23 08:00,C1,0,128,216,83,96,1827,92,C5,0,22,16264,1.048408565,1.048408565,88515.90573,1054.133333,0.73874349
10005085,23M000,23M100,ME,2020/7/1,160,1PD05R550001,172.7,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C4,0,7,5152,0.989335937,0.989335937,55053.70899,513.3333333,0.664389706
10005085,23M000,23M100,ME,2020/8/1,200,1PD05R550001,71,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C4,0,8,5896,0.94453125,0.94453125,55053.70899,513.3333333,0.613178161
10005085,23M000,23M100,ME,2020/8/1,200,QRQY00001097,113,2020/5/18 08:00,C6,0,0,0,0,0,0,91,,0,2,3005447.788,0.94453125,0.94453125,6737.1,100206.3929,0.613178161
10005085,23M000,23M100,ME,2020/9/1,144,QRQY00001097,131.2,2020/5/18 08:00,C6,0,0,0,0,0,0,91,,0,3,3006191.788,1.011197917,1.011197917,6737.1,100206.3929,0.723683261
10005085,23M000,23M100,ME,2020/10/1,152,1PD05R550001,129.1,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C5,0,10,7360,1.002982456,1.002982456,55053.70899,513.3333333,0.603954294
10005085,23M000,23M100,ME,2020/11/1,200,1PD05R550001,205.6,2019/12/16 08:00,C0,16,15,60,76,108,1795,92,C5,0,11,8104,1.0076,1.0076,55053.70899,513.3333333,0.532455
10005085,23M000,23M200,ME,2021/6/1,152,1PD05P55E001,153.4,2020/6/1 08:00,C0,31,60,119,89,65,1826,91,C5,0,7,9520,0.981860902,0.981860902,19205.50172,390.9333333,0.659882127
10006020,230000,230230,RH,2019/3/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,20,2992991.788,0,0,421.5345709,100498.3929,0.126711165
10006020,230000,230230,RH,2019/4/1,176,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,21,2993735.788,0,0,421.5345709,100498.3929,0.113689631
10006020,230000,230230,RH,2019/5/1,160,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,22,2994455.788,0,0,421.5345709,100498.3929,0.110721649
10006020,230000,230230,RH,2019/6/1,152,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,23,2995199.788,0,0,421.5345709,100498.3929,0.117600532
10006020,230000,230350,RH,2019/12/1,192,,0,Microsoft.DPrep.ErrorValues.PythonNumpyDatetimeParseFailure,,,,,,,,,,0,29,2999591.788,0,0,421.5345709,100498.3929,0.107818627
